"Hombre","De 70 a 74 años","394,031","521,069","589,106","703,277","873,893"
"Hombre","De 75 a 79 años","277,835","317,553","411,197","490,840","579,689"
"Hombre","De 80 a 84 años","179,820","193,923","217,330","296,351","355,277"
"Hombre","De 85 a 89 años","99,299","112,158","125,041","150,617","197,461"
"Hombre","De 90 a 94 años","38,021","44,789","50,843","54,391","68,130"
"Hombre","De 95 a 99 años","15,069","20,716","25,741","24,439","25,920"
"Hombre","De 100 y más años","7,092","5,137","8,029","6,696","7,228"
"Hombre","No especificado","240,058","103,210","1,033,675","1,406,199","700,219"
"Mujer","Total","41,355,676","46,257,791","49,891,159","53,013,433","57,481,307"
"Mujer","De 0 a 4 años","5,035,176","5,274,744","5,233,851","5,010,330","5,181,379"
"Mujer","De 5 a 9 años","5,223,949","5,351,919","5,537,612","5,172,611","5,443,362"
"Mujer","De 10 a 14 años","5,158,434","5,265,787","5,300,756","5,406,213","5,392,324"
"Mujer","De 15 a 19 años","4,904,511","5,119,828","5,082,487","5,113,115","5,505,991"
"Mujer","De 20 a 24 años","4,091,035","4,858,738","4,767,534","4,711,189","5,079,067"
"Mujer","De 25 a 29 años","3,353,917","3,960,095","4,296,261","4,297,634","4,582,202"
"Mujer","De 30 a 34 años","2,808,883","3,412,143","3,753,167","4,187,977","4,444,767"
"Mujer","De 35 a 39 años","2,368,551","3,015,882","3,329,210","3,741,154","4,328,249"
"Mujer","De 40 a 44 años","1,792,757","2,261,276","2,700,062","3,145,719","3,658,904"
"Mujer","De 45 a 49 años","1,519,287","1,848,947","2,114,914","2,627,106","3,104,366"
"Mujer","De 50 a 54 años","1,231,916","1,477,541","1,733,920","2,130,930","2,661,840"
"Mujer","De 55 a 59 años","975,620","1,148,604","1,325,159","1,619,090","2,025,828"
"Mujer","De 60 a 64 años","841,400","1,012,303","1,152,742","1,378,688","1,639,799"
"Mujer","De 65 a 69 años","616,010","751,805","881,119","1,035,477","1,221,992"
"Mujer","De 70 a 74 años","432,996","558,734","656,568","793,414","1,000,041"
"Mujer","De 75 a 79 años","313,001","348,643","454,073","557,475","665,794"
"Mujer","De 80 a 84 años","222,012","240,197","266,546","360,660","443,659"
"Mujer","De 85 a 89 años","126,151","140,644","165,010","194,537","256,703"
"Mujer","De 90 a 94 años","53,168","60,361","71,163","77,934","96,794"
"Mujer","De 95 a 99 años","22,620","29,048","37,151","36,706","39,812"
"Mujer","De 100 y más años","12,075","8,909","11,728","10,953","11,247"
"Mujer","No especificado","252,207","111,643","1,020,126","1,404,521","697,187"

"Fuente: INEGI. XI  Censo general de población y vivienda 1990."
"                 INEGI. I Conteo de población y vivienda 1995."
"                 INEGI. XII Censo general de población y vivienda 2000."
"                 INEGI. II Conteo de población y vivienda 
2005."
"                 INEGI. Censo de población y vivienda 2010."
